# register#,plate_x,plate_y,Seconds,i0,i1,mon,bstop,Omron,CH6,    CH7,TEMP,marccd,ICRxT,OCRxT,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,    ROI10,RIO11,ROI12,ROI13,SWX,CCD1,CTEMP,Timer,pd1,pd2,pd3,pd4,pd5,pd6,pd7,    pd8,pd9,pd10,pd11,pd12,pd13,pd14,pd15,pd16,scan#,Imax,Iave,ratio,scan#,texture,scan#,peak_num,scan#, neighbor_distance,Co,Fe,Zr,Co_adjusted,Fe_adjusted,Zr_adjusted,# peak_position, peak_width, peak_intensity,distance_2d,# Fe_alpha,Fe_beta,Co_alpha,Co_beta
1.20E+01,0.00E+00,-3.60E+01,3.00E+01,3.75E+06,3.97E+06,0.00E+00,1.35E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,4.83E+05,4.58E+05,9.95E+04,9.00E+04,1.68E+04,9.35E+03,7.42E+02,1.19E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.23E+03,6.37E+02,3.50E+00,1.00E+00,1.93E-05,1.00E+00,6.00E+00,1.00E+00,6.11E-08,0.051833262,0.090231582,0.857935155,0.057174899,0.091348778,0.851476323,2.47E+00,1.35E-01,1.56E+03,2.42E-05,3.56E+03,4.84E+02,2.78E+03,3.82E+02
3.30E+01,-1.20E+01,-3.30E+01,3.00E+01,3.75E+06,4.01E+06,0.00E+00,1.38E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,5.45E+05,5.14E+05,1.42E+05,1.07E+05,1.74E+04,7.91E+03,9.67E+02,1.23E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E+00,1.25E+03,6.37E+02,1.97E+00,2.00E+00,1.23E-05,2.00E+00,3.00E+00,2.00E+00,2.53E-08,0.062722272,0.138286697,0.798991031,0.069402858,0.139741487,0.790855655,2.50E+00,3.31E-01,5.77E+02,1.67E-05,5.16E+03,7.02E+02,3.07E+03,4.20E+02
3.40E+01,-9.00E+00,-3.30E+01,3.00E+01,3.75E+06,3.99E+06,0.00E+00,1.37E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.31E+05,5.01E+05,1.33E+05,1.06E+05,1.77E+04,8.26E+03,9.00E+02,1.20E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E+00,1.35E+03,6.36E+02,2.12E+00,3.00E+00,1.27E-05,3.00E+00,4.00E+00,3.00E+00,-8.85E-08,0.061608382,0.126931814,0.811459804,0.068128731,0.128243203,0.803628066,2.50E+00,2.86E-01,6.68E+02,5.84E-05,4.78E+03,6.49E+02,3.10E+03,4.24E+02
3.50E+01,-6.00E+00,-3.30E+01,3.00E+01,3.79E+06,3.99E+06,0.00E+00,1.40E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.53E+01,5.20E+05,4.91E+05,1.24E+05,1.04E+05,1.79E+04,8.58E+03,8.33E+02,1.20E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+00,1.48E+03,6.39E+02,2.32E+00,4.00E+00,1.29E-05,4.00E+00,5.00E+00,4.00E+00,-2.85E-08,0.060432846,0.116486126,0.823081028,0.066782569,0.117664454,0.815552977,2.49E+00,2.31E-01,8.15E+02,-3.53E-05,4.51E+03,6.13E+02,3.09E+03,4.23E+02
3.60E+01,-3.00E+00,-3.30E+01,3.00E+01,3.79E+06,3.96E+06,0.00E+00,1.38E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,5.09E+05,4.81E+05,1.15E+05,1.02E+05,1.80E+04,8.78E+03,8.63E+02,1.17E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.00E+00,1.67E+03,6.37E+02,2.62E+00,5.00E+00,1.30E-05,5.00E+00,6.00E+00,5.00E+00,1.48E-08,0.059203319,0.106862252,0.833934429,0.065373849,0.107917961,0.82670819,2.48E+00,1.95E-01,9.90E+02,1.19E-05,4.15E+03,5.64E+02,3.10E+03,4.25E+02
3.70E+01,0.00E+00,-3.30E+01,3.00E+01,3.79E+06,3.87E+06,0.00E+00,1.42E+07,1.04E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,4.89E+05,4.63E+05,1.06E+05,9.81E+04,1.78E+04,9.04E+03,8.50E+02,1.12E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+00,1.90E+03,6.26E+02,3.05E+00,6.00E+00,1.42E-05,6.00E+00,6.00E+00,6.00E+00,1.80E-03,0.057934046,0.098039575,0.844026379,0.063918461,0.098982232,0.837099307,2.48E+00,1.62E-01,1.24E+03,7.38E-03,3.78E+03,5.15E+02,3.05E+03,4.18E+02
3.80E+01,3.00E+00,-3.30E+01,3.00E+01,3.79E+06,3.96E+06,0.00E+00,1.44E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.52E+01,4.90E+05,4.64E+05,1.01E+05,9.78E+04,1.82E+04,9.52E+03,8.29E+02,1.14E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,2.33E+03,6.45E+02,3.61E+00,7.00E+00,2.20E-05,7.00E+00,6.00E+00,7.00E+00,4.38E-08,0.056632794,0.089948218,0.853418988,0.062424958,0.090787293,0.846787749,2.48E+00,1.34E-01,1.66E+03,2.23E-05,3.59E+03,4.88E+02,3.05E+03,4.18E+02
3.90E+01,6.00E+00,-3.30E+01,3.00E+01,3.78E+06,3.97E+06,0.00E+00,1.44E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.49E+01,4.88E+05,4.62E+05,9.40E+04,9.60E+04,1.84E+04,9.79E+03,7.97E+02,1.15E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+00,2.82E+03,6.52E+02,4.32E+00,8.00E+00,4.21E-05,8.00E+00,7.00E+00,8.00E+00,-3.82E-08,0.055305735,0.082524327,0.862169938,0.060900483,0.083267646,0.855831872,2.47E+00,1.13E-01,2.16E+03,-5.81E-05,3.36E+03,4.58E+02,3.06E+03,4.20E+02
4.00E+01,9.00E+00,-3.30E+01,3.00E+01,3.77E+06,3.95E+06,0.00E+00,1.43E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.50E+01,4.78E+05,4.53E+05,8.64E+04,9.33E+04,1.83E+04,1.02E+04,7.63E+02,1.17E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E+00,3.37E+03,6.57E+02,5.13E+00,9.00E+00,7.88E-05,9.00E+00,7.00E+00,9.00E+00,-4.04E-08,0.053964736,0.075741912,0.870293352,0.059359106,0.076397917,0.864242977,2.47E+00,9.75E-02,2.71E+03,-1.25E-04,3.09E+03,4.20E+02,3.05E+03,4.17E+02
4.10E+01,1.20E+01,-3.30E+01,3.00E+01,3.76E+06,3.92E+06,0.00E+00,1.40E+07,1.05E+05,0.00E+00,0.00E+00,0.00E+00,3.51E+01,4.71E+05,4.47E+05,8.13E+04,9.18E+04,1.83E+04,1.02E+04,8.19E+02,1.16E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+01,4.03E+03,6.63E+02,6.08E+00,1.00E+01,1.31E-04,1.00E+01,7.00E+00,1.00E+01,7.86E-08,0.052611919,0.069529345,0.877858737,0.05780295,0.070105084,0.872091965,2.46E+00,8.41E-02,3.36E+03,4.15E-04,2.88E+03,3.92E+02,3.01E+03,4.13E+02
